TeilnehmerID,Gruppe,RaumlicheGruppe,Pressure,map,place,V,O,G,uncertainty,dec,conf,dec_rt,conf_rt,trial,correct,unc_c,pres_c
OZ_T12,1,2,Control,K18,Serneus,V1,O2,G1,OU,8,4,26,4,6,1,-0.5,-0.5
OZ_T12,1,2,Control,K20,Tschiertschen,V3,O1,G2,OU,7,4,17,3,7,1,-0.5,-0.5
OZ_T12,1,2,Control,K22,Klosters,V2,O2,G2,OU,8,4,30,19,8,1,-0.5,-0.5
OZ_T12,1,2,Control,K24,Arosa,V1,O1,G1,MU,7,2,33,2,9,1,0.5,-0.5
OZ_T12,1,2,Control,K26,Berguen,V3,O2,G2,MU,8,4,47,4,10,1,0.5,-0.5
OZ_T12,1,2,Control,K28,Bivio,V3,O1,G1,MU,7,2,53,6,11,1,0.5,-0.5
OZ_T12,1,2,Control,K30,Churwalden,V2,O1,G2,MU,7,3,29,5,12,1,0.5,-0.5
OZ_T12,1,2,Control,K32,Kloster,V2,O2,G1,MU,8,4,36,5,13,1,0.5,-0.5
OZ_T12,1,2,Control,K34,SanBernadino,V4,O2,G1,MU,8,3,21,6,14,1,0.5,-0.5
OZ_T12,1,2,Control,K36,Serneus,V1,O2,G2,MU,8,3,35,6,15,1,0.5,-0.5
OZ_T12,1,2,Control,K38,Tschiertschen,V3,O1,G1,MU,8,2,28,3,16,1,0.5,-0.5
OZ_T13,1,2,Control,K8,Arosa,V1,O1,G2,OU,8,2,58,6,1,1,-0.5,-0.5
OZ_T13,1,2,Control,K10,Berguen,V3,O2,G1,OU,8,5,14,3,2,1,-0.5,-0.5
OZ_T13,1,2,Control,K12,Bivio,V4,O1,G1,OU,8,4,11,3,3,1,-0.5,-0.5
OZ_T13,1,2,Control,K14,Churwalden,V2,O1,G1,OU,7,3,26,3,4,1,-0.5,-0.5
OZ_T13,1,2,Control,K16,SanBernadino,V4,O2,G2,OU,8,2,46,3,5,1,-0.5,-0.5
OZ_T13,1,2,Control,K18,Serneus,V1,O2,G1,OU,8,3,49,3,6,1,-0.5,-0.5
OZ_T13,1,2,Control,K20,Tschiertschen,V3,O1,G2,OU,8,5,17,5,7,1,-0.5,-0.5
OZ_T13,1,2,Control,K22,Klosters,V2,O2,G2,OU,8,5,10,5,8,1,-0.5,-0.5
OZ_T13,1,2,Control,K24,Arosa,V1,O1,G1,MU,7,4,13,3,9,1,0.5,-0.5
OZ_T13,1,2,Control,K26,Berguen,V3,O2,G2,MU,7,5,10,2,10,1,0.5,-0.5
OZ_T13,1,2,Control,K28,Bivio,V3,O1,G1,MU,7,4,17,3,11,1,0.5,-0.5
OZ_T13,1,2,Control,K30,Churwalden,V2,O1,G2,MU,7,5,10,4,12,1,0.5,-0.5
OZ_T13,1,2,Control,K32,Kloster,V2,O2,G1,MU,7,3,36,5,13,1,0.5,-0.5
OZ_T13,1,2,Control,K34,SanBernadino,V4,O2,G1,MU,8,4,15,3,14,1,0.5,-0.5
OZ_T13,1,2,Control,K36,Serneus,V1,O2,G2,MU,7,2,20,3,15,1,0.5,-0.5
OZ_T13,1,2,Control,K38,Tschiertschen,V3,O1,G1,MU,7,4,25,4,16,1,0.5,-0.5
OZ_T14,1,2,Control,K8,Arosa,V1,O1,G2,OU,8,2,54,6,1,1,-0.5,-0.5
